PAT_924_1757_704;1
PAT_549_1043_36;1
PAT_677_1349_851;1
PAT_664_1263_781;1
PAT_1641_2886_284;1
PAT_1322_1137_201;4
PAT_1404_1393_540;2
PAT_253_384_607;1
PAT_837_1582_714;1
PAT_522_986_800;1
PAT_53_1370_288;1
PAT_938_1789_693;1
PAT_854_1635_103;1
PAT_1690_3082_117;1
PAT_595_1142_142;1
PAT_1993_4077_139;1
PAT_835_1578_592;1
PAT_492_1784_50;1
PAT_492_4723_890;4
PAT_528_992_124;1
PAT_709_1331_253;2
PAT_1392_1352_778;1
PAT_1547_4232_115;1
PAT_184_284_721;2
PAT_640_1210_293;1
PAT_1067_284_533;1
PAT_354_1814_619;1
PAT_1708_3153_799;3
PAT_224_1340_142;1
PAT_198_302_44;1
PAT_407_810_390;1
PAT_63_99_189;1
PAT_138_205_296;1
PAT_90_138_369;1
PAT_1439_1522_211;1
PAT_705_1326_82;1
PAT_1805_3477_772;1
PAT_715_4073_115;2
PAT_1572_2495_335;2
PAT_68_105_871;1
PAT_1506_1735_733;1
PAT_154_237_625;1
PAT_1252_866_852;1
PAT_1689_3075_38;1
PAT_1415_1439_295;1
PAT_63_99_736;1
PAT_464_899_646;1
PAT_330_695_90;2
PAT_1707_3148_835;2
PAT_181_832_158;1
PAT_961_1818_992;4
PAT_126_191_304;4
PAT_683_1296_237;1
PAT_108_424_944;2
PAT_558_1072_486;1
PAT_834_4490_317;4
PAT_927_1759_749;4
PAT_97_151_503;2
PAT_876_1664_579;1
PAT_690_1309_217;1
PAT_122_185_957;1
PAT_2011_4141_862;1
PAT_463_897_440;4
PAT_824_1561_796;1
PAT_1586_2624_615;1
PAT_859_1638_598;1
PAT_535_1011_567;1
PAT_793_1512_382;1
PAT_1736_3246_166;4
PAT_338_709_306;2
PAT_950_1804_64;1
PAT_796_1509_459;1
PAT_1608_2720_196;1
PAT_819_1541_727;1
PAT_621_3591_171;2
PAT_16_24_691;1
PAT_834_1572_973;1
PAT_72_110_647;1
PAT_152_230_934;2
PAT_1388_3513_146;1
PAT_1406_1397_669;1
PAT_75_114_73;1
PAT_50_76_296;1
PAT_600_1141_988;1
PAT_624_1180_803;1
PAT_691_1311_2;1
PAT_1770_3344_274;1
PAT_362_744_283;1
PAT_198_853_778;1
PAT_649_1233_229;1
PAT_386_1554_362;4
PAT_641_1211_321;1
PAT_966_1826_587;1
PAT_1521_1778_763;1
PAT_601_1147_943;1
PAT_994_1866_913;1
PAT_557_1058_309;4
PAT_67_104_730;3
PAT_403_804_994;1
PAT_465_901_106;1
PAT_526_3205_611;4
PAT_1414_1431_754;4
PAT_1130_501_181;1
PAT_841_1603_667;1
PAT_1022_115_132;1
PAT_1020_111_593;1
PAT_1709_3159_144;1
PAT_1735_3242_27;3
PAT_926_1758_714;2
PAT_154_235_162;1
PAT_831_1570_637;1
PAT_1249_862_658;1
PAT_759_1433_914;1
PAT_1531_1800_683;1
PAT_2144_4738_120;1
PAT_1370_1274_515;4
PAT_862_1643_386;1
PAT_2103_4581_72;2
PAT_1365_1253_912;3
PAT_340_714_314;1
PAT_717_1347_899;1
PAT_719_1361_234;4
